idna_subject,checker_type,destination,tested_at
ads.telegraph.co.uk,AVAILABILITY,domains.list,2022-10-07 14:38:23.467218
ads.timeout.com,AVAILABILITY,domains.list,2022-10-07 14:38:24.030042
ads.tjwi.info,AVAILABILITY,domains.list,2022-10-07 14:38:24.629334
ads.t-online.de,AVAILABILITY,domains.list,2022-10-07 14:38:25.144120
ads.tripod.spray.se,AVAILABILITY,domains.list,2022-10-07 14:38:26.051286
reklama.reflektor.cz,AVAILABILITY,domains.list,2022-10-07 14:38:28.031275
ads.bonniercorp.com,AVAILABILITY,domains.list,2022-10-07 14:38:28.855170
sx.trhnt.com,AVAILABILITY,domains.list,2022-10-07 14:38:29.661343
bannerexchange.cjb.net,AVAILABILITY,domains.list,2022-10-07 14:38:30.283580
ads.web.aol.com,AVAILABILITY,domains.list,2022-10-07 14:38:30.863107
ads.web.cs.com,AVAILABILITY,domains.list,2022-10-07 14:38:31.458175
ads.whi.co.nz,AVAILABILITY,domains.list,2022-10-07 14:38:34.002046
ads.wunderground.com,AVAILABILITY,domains.list,2022-10-07 14:38:34.888283
ads.y-0.net,AVAILABILITY,domains.list,2022-10-07 14:38:35.480633
ads.thewebfreaks.com,AVAILABILITY,domains.list,2022-10-07 14:38:43.828027
adserv.gamezone.de,AVAILABILITY,domains.list,2022-10-07 14:38:44.639041
adserv.evo-x.de,AVAILABILITY,domains.list,2022-10-07 14:38:45.120227
adserv.qconline.com,AVAILABILITY,domains.list,2022-10-07 14:38:45.911135
adserver1.ogilvy-interactive.de,AVAILABILITY,domains.list,2022-10-07 14:38:46.506825
adserv.iafrica.com,AVAILABILITY,domains.list,2022-10-07 14:38:48.176190
adserver2.popdata.de,AVAILABILITY,domains.list,2022-10-07 14:38:49.468032
adserver.aidameter.com,AVAILABILITY,domains.list,2022-10-07 14:38:50.050647
adserver.dotcommedia.de,AVAILABILITY,domains.list,2022-10-07 14:38:51.307592
adserver.clashmusic.com,AVAILABILITY,domains.list,2022-10-07 14:38:51.976299
adserver.flossiemediagroup.com,AVAILABILITY,domains.list,2022-10-07 14:38:52.858448
