idna_subject,checker_type,destination,source,tested_at,session_id
101com.com,AVAILABILITY,domains.list,domains.list,2022-10-15 10:59:50.386103,667b559f71fd466e8e1ddd7b
101order.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:00:05.881455,667b559f71fd466e8e1ddd7b
123found.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:00:13.088813,667b559f71fd466e8e1ddd7b
140proof.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:00:20.051154,667b559f71fd466e8e1ddd7b
180hits.de,AVAILABILITY,domains.list,domains.list,2022-10-15 11:00:22.010744,667b559f71fd466e8e1ddd7b
180searchassistant.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:00:29.199910,667b559f71fd466e8e1ddd7b
1x1rank.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:00:29.776321,667b559f71fd466e8e1ddd7b
207.net,AVAILABILITY,domains.list,domains.list,2022-10-15 11:00:30.205519,667b559f71fd466e8e1ddd7b
247media.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:00:55.563728,667b559f71fd466e8e1ddd7b
24log.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:01.644860,667b559f71fd466e8e1ddd7b
24log.de,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:12.659993,667b559f71fd466e8e1ddd7b
24pm-affiliation.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:13.021523,667b559f71fd466e8e1ddd7b
2mdn.net,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:13.506236,667b559f71fd466e8e1ddd7b
2o7.net,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:18.871654,667b559f71fd466e8e1ddd7b
360yield.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:29.234005,667b559f71fd466e8e1ddd7b
3cinteractive.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:30.577269,667b559f71fd466e8e1ddd7b
4affiliate.net,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:38.187222,667b559f71fd466e8e1ddd7b
4d5.net,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:43.769590,667b559f71fd466e8e1ddd7b
4info.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:49.728422,667b559f71fd466e8e1ddd7b
4mads.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:55.489238,667b559f71fd466e8e1ddd7b
50websads.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:56.173398,667b559f71fd466e8e1ddd7b
518ad.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:01:57.355387,667b559f71fd466e8e1ddd7b
51yes.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:17.730845,667b559f71fd466e8e1ddd7b
5thfinger.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:18.840685,667b559f71fd466e8e1ddd7b
600z.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:19.335820,667b559f71fd466e8e1ddd7b
777partner.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:21.545385,667b559f71fd466e8e1ddd7b
777seo.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:22.946546,667b559f71fd466e8e1ddd7b
77tracking.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:23.971488,667b559f71fd466e8e1ddd7b
7bpeople.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:26.230787,667b559f71fd466e8e1ddd7b
7search.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:26.798851,667b559f71fd466e8e1ddd7b
980media.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:27.180299,667b559f71fd466e8e1ddd7b
99count.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:47.549798,667b559f71fd466e8e1ddd7b
a-ads.com,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:47.850967,667b559f71fd466e8e1ddd7b
a-counter.kiev.ua,AVAILABILITY,domains.list,domains.list,2022-10-15 11:02:48.157406,667b559f71fd466e8e1ddd7b
